1,1,3,81,0,1,0,1,1,1,4,1,1,1,2,0,1,1,3,1,1,4,1
2,1,4,57,0,0,0,2,0,1,2,0,1,0,1,0,0,0,2,2,4,3,0
3,3,1,74,0,0,0,2,0,1,2,0,1,1,2,0,1,0,2,4,2,1,0
2,2,2,105,0,0,1,2,0,0,1,1,1,0,1,0,1,0,3,2,2,3,0
4,1,2,78,0,1,0,1,0,1,4,0,1,1,3,0,1,0,1,2,3,3,0
2,1,1,77,0,0,0,2,0,1,1,0,0,1,1,0,0,0,4,3,4,1,0
3,3,3,69,0,1,0,1,0,1,3,0,1,1,3,0,1,0,2,2,2,2,0
3,1,1,75,0,0,0,1,0,0,1,0,1,1,2,0,1,0,4,3,1,3,0
2,1,4,76,0,0,0,2,0,1,4,1,0,1,3,0,0,1,2,4,1,2,1
1,2,2,100,0,0,0,2,0,0,1,0,1,0,1,0,1,1,4,4,1,1,0
3,2,1,71,0,0,0,2,0,0,1,0,1,0,1,0,0,0,3,4,3,1,0
1,2,3,88,1,1,0,1,0,1,4,0,1,1,3,0,1,1,1,3,3,2,1
4,3,4,57,0,0,0,2,0,0,2,1,1,0,1,0,1,0,3,2,4,4,0
4,1,2,80,0,0,0,1,0,1,3,0,1,1,3,0,0,0,4,4,4,3,0
2,1,3,65,0,1,0,2,0,1,3,1,1,1,3,0,1,0,3,2,3,2,0
4,2,4,74,0,1,1,2,0,1,4,0,0,1,3,0,1,0,1,4,3,3,0
3,1,4,75,0,1,1,2,0,1,2,0,1,1,3,0,0,1,4,1,4,1,1
1,3,2,60,0,0,0,1,0,1,2,1,1,0,2,0,1,1,4,2,2,4,0
2,3,4,64,0,0,0,2,0,1,4,0,1,1,3,0,1,1,4,2,4,4,0
3,3,3,65,0,1,0,2,0,0,3,0,1,0,1,0,1,1,4,2,1,3,0
1,1,1,80,0,1,0,2,0,1,4,1,1,0,2,0,1,1,3,2,1,2,1
2,3,2,70,0,1,0,2,0,1,4,1,1,1,2,0,1,1,2,3,1,2,0
4,1,1,74,0,1,0,2,0,0,2,0,1,0,1,0,0,0,2,3,4,1,0
1,3,3,66,1,1,0,2,0,1,4,0,1,1,3,0,1,0,3,2,1,2,0
3,3,2,80,0,0,0,2,0,0,2,0,1,0,1,0,1,0,4,2,2,2,0
2,3,2,65,0,0,1,2,0,1,3,0,1,1,1,1,0,0,2,2,4,2,0
2,3,3,86,0,1,0,2,0,0,2,0,1,0,1,0,1,0,1,4,4,2,0
4,3,1,81,0,1,0,2,0,0,1,0,0,0,1,0,1,0,3,4,1,1,0
1,3,4,65,1,1,0,1,0,1,4,0,1,1,2,0,1,1,2,2,3,4,0
2,3,1,73,0,1,0,2,0,0,1,0,1,0,1,0,1,0,4,3,4,3,0
3,1,1,81,0,1,0,2,0,1,3,0,1,0,1,0,1,0,3,4,2,4,0
2,2,2,115,0,1,0,2,0,0,1,0,1,0,1,0,1,1,1,1,2,2,0
1,3,2,76,0,1,0,1,0,1,4,0,1,1,3,0,1,0,1,1,1,2,1
4,3,1,60,0,1,0,2,0,1,2,1,1,1,3,0,1,1,2,1,1,3,0
2,3,3,57,0,1,0,1,0,1,2,0,1,0,2,0,1,0,2,3,1,4,0
1,1,3,79,0,1,0,2,1,1,4,1,1,1,3,0,0,0,1,2,2,1,0
3,3,4,62,0,1,0,2,0,1,2,0,1,0,1,0,1,0,3,4,4,4,1
3,3,3,67,0,0,1,2,0,0,2,0,1,0,1,0,1,0,3,1,1,1,0
4,3,1,65,0,1,0,2,0,1,3,0,1,1,3,0,1,0,3,3,2,2,0
2,3,4,79,0,1,0,2,1,1,1,0,1,1,2,0,1,0,3,3,3,2,0
1,3,1,113,0,1,0,1,0,0,1,0,0,1,3,0,1,0,4,2,4,4,0
1,3,1,69,0,1,0,2,0,1,2,0,1,1,3,0,1,0,4,4,4,3,1
2,3,3,57,0,0,1,2,0,0,1,0,1,0,1,0,1,1,4,2,3,2,0
3,1,1,69,0,0,0,1,0,1,1,1,1,0,1,0,0,0,2,2,1,3,0
2,1,2,125,0,1,0,2,0,0,2,1,1,0,1,0,0,0,2,4,3,3,0
3,3,2,82,0,0,0,1,0,1,2,1,1,0,1,0,1,1,4,3,3,2,0
2,1,1,78,0,1,0,2,0,1,1,0,1,0,1,0,1,1,3,4,1,1,0
3,1,2,78,0,1,0,1,0,1,2,0,1,1,1,0,1,0,3,1,4,1,1
4,1,4,66,0,1,0,2,0,1,3,0,1,1,2,0,0,0,1,2,2,3,0
4,2,4,74,0,1,1,1,0,1,4,0,1,1,3,0,1,0,4,2,4,3,0
4,2,4,67,0,1,0,1,0,1,3,0,1,1,3,0,1,1,3,2,2,4,0
3,1,2,84,0,1,0,2,0,0,2,0,1,1,3,0,1,1,3,3,2,4,1
1,3,2,79,1,0,0,2,0,1,4,1,1,1,3,0,1,0,4,1,3,3,0
1,3,1,95,1,0,0,2,0,0,1,1,1,1,2,0,0,0,1,4,4,3,1
1,1,3,72,0,1,0,2,0,1,4,1,1,1,2,0,0,0,4,1,1,3,0
3,1,1,121,1,0,0,2,0,1,3,0,1,1,1,1,1,1,2,4,4,3,0
4,3,2,70,1,0,0,2,0,0,1,1,1,0,1,0,0,0,3,2,4,1,0
4,3,4,86,0,0,0,2,0,1,4,0,1,1,3,0,1,0,1,1,2,4,0
1,3,2,73,0,1,0,2,0,1,3,0,1,1,3,0,1,0,1,1,4,2,1
3,3,1,65,0,1,0,2,0,1,4,0,1,0,2,0,0,1,4,4,2,2,0
3,2,3,73,0,0,0,2,0,0,2,1,0,0,1,0,1,0,2,4,3,2,0
4,2,4,83,0,1,0,2,0,0,2,0,1,0,2,0,1,0,1,4,1,3,0
1,1,2,80,0,1,1,1,0,1,2,1,0,0,1,0,1,0,4,1,4,3,1
3,1,2,70,0,0,0,1,0,0,2,1,1,0,1,0,1,0,2,3,2,4,0
4,2,2,68,0,1,0,1,0,1,3,0,1,1,2,0,1,1,4,4,3,3,1
2,1,2,67,0,1,0,1,0,1,4,0,1,1,2,0,1,0,1,1,3,1,0
4,1,1,84,0,1,0,1,0,1,3,0,1,1,1,0,1,0,2,2,3,2,1
4,1,1,69,0,0,0,2,0,1,2,0,1,1,3,0,0,0,2,2,2,3,1
3,3,4,69,0,1,1,2,0,1,4,0,1,1,3,0,0,0,3,4,3,4,1
3,3,1,79,0,1,0,1,0,1,2,0,0,1,3,0,1,1,1,3,2,3,0
1,2,2,86,1,1,0,1,0,1,4,1,0,1,3,0,1,1,1,2,2,4,1
4,1,3,78,0,1,0,1,0,1,4,0,1,1,1,1,1,0,1,1,4,1,1
4,3,4,102,0,1,0,1,0,1,3,0,1,1,3,0,1,0,3,4,3,3,0
4,3,2,64,0,0,0,1,0,1,4,0,1,1,3,0,1,0,2,4,3,4,0
4,3,3,71,0,0,0,2,0,0,1,1,1,0,1,0,1,0,3,4,1,2,0
2,3,3,131,0,1,0,2,0,1,4,0,1,1,3,0,1,0,1,1,4,3,1
4,1,4,71,0,0,0,1,0,0,3,0,1,0,1,0,1,0,4,1,2,1,0
4,1,1,64,0,0,0,2,0,0,1,1,1,0,1,0,1,0,4,2,2,1,0
4,3,4,59,0,1,1,2,0,0,4,0,1,1,3,0,0,0,3,3,2,4,0
2,3,3,85,0,1,0,1,0,0,2,1,1,0,2,1,1,0,4,3,2,3,0
1,1,3,81,0,1,1,2,0,1,2,0,1,0,3,0,1,1,3,2,2,2,1
1,3,1,95,0,1,0,2,0,1,4,1,1,1,3,0,1,0,3,1,2,4,0
1,1,3,75,0,1,0,2,0,1,3,0,1,1,3,0,0,1,3,1,4,2,0
4,2,4,69,0,1,0,1,0,1,4,1,1,1,3,0,0,0,3,1,3,4,1
1,3,3,72,0,0,0,2,0,1,2,1,1,0,2,0,0,1,3,2,3,2,0
1,1,1,58,0,0,0,2,0,1,4,1,1,1,1,0,0,1,1,3,4,3,0
2,1,1,67,0,0,0,2,0,0,2,1,1,0,1,0,1,0,3,4,3,4,0
1,1,4,80,0,1,0,2,0,0,3,0,1,1,3,0,1,1,3,2,1,1,0
4,1,1,75,0,1,0,2,0,0,1,0,1,0,1,0,1,0,1,4,1,4,0
1,1,3,73,0,1,0,2,0,1,4,0,1,1,3,0,0,1,3,4,4,3,1
2,2,4,79,0,1,1,1,0,1,4,0,1,1,3,0,1,0,3,1,1,3,1
3,3,1,89,0,1,0,1,0,1,4,0,1,1,2,1,1,1,3,2,3,1,0
3,3,2,72,0,1,0,1,0,1,4,0,1,1,2,0,1,1,2,3,3,2,1
2,1,4,64,0,0,0,1,0,0,3,0,1,1,1,0,0,0,4,1,1,2,0
1,3,2,100,0,0,0,2,0,0,2,1,1,0,3,0,1,1,4,4,3,3,0
2,3,3,93,1,1,0,2,0,1,2,0,1,1,3,0,1,1,3,1,4,3,0
2,3,1,79,0,1,0,2,0,0,1,0,1,0,2,0,1,0,3,4,3,1,0
4,1,1,68,0,1,0,2,0,1,4,0,1,1,3,0,0,0,1,1,4,1,0
1,2,3,106,0,1,0,2,0,0,2,1,1,0,1,0,1,0,2,2,3,2,0
4,1,2,70,0,1,0,2,0,1,4,0,1,1,3,0,1,1,1,1,2,1,1
3,2,2,122,0,1,0,2,0,1,4,0,1,1,2,0,1,1,1,1,4,1,0
3,1,2,79,0,0,0,2,0,1,1,1,1,0,1,0,0,0,4,3,1,2,0
4,3,1,76,0,1,0,2,0,0,1,0,1,0,1,0,1,0,3,3,3,4,0
3,3,2,69,0,0,0,2,0,1,3,0,1,1,3,0,1,0,1,2,3,3,1
3,1,4,93,0,1,0,2,0,1,3,0,1,1,1,0,1,0,4,4,1,2,0
1,3,1,80,0,1,1,1,0,1,1,1,1,1,1,0,1,1,2,3,4,3,0
1,1,1,76,0,1,1,2,0,0,1,0,1,0,1,0,0,1,1,4,4,2,0
2,3,3,76,0,1,0,1,0,1,3,0,1,1,3,0,1,0,2,1,3,3,0
3,3,1,77,0,0,0,2,0,1,1,1,1,1,2,0,1,0,2,2,1,1,0
1,3,2,55,0,1,0,1,0,0,1,0,1,1,1,0,1,1,4,3,4,3,0
3,2,3,83,0,1,0,2,1,1,4,1,0,1,3,0,1,0,2,3,3,2,1
3,1,3,85,0,1,0,2,0,1,2,1,1,0,1,0,1,0,2,4,1,3,0
3,3,4,73,0,1,1,1,0,1,4,0,0,1,3,0,1,1,3,1,1,4,0
3,3,4,70,0,1,0,1,0,1,4,0,1,1,1,0,1,0,4,4,1,2,0
4,2,1,64,0,1,0,2,0,1,3,1,1,1,3,0,1,1,1,3,2,2,1
1,1,3,94,0,1,0,2,0,1,3,0,1,1,3,0,1,1,1,4,2,4,0
4,1,3,93,0,1,0,1,0,1,4,0,1,1,3,0,1,1,4,1,3,4,1
2,1,2,68,0,0,0,2,0,0,1,1,0,0,1,0,0,0,4,3,3,3,0
2,1,1,71,0,0,0,2,0,0,4,0,1,1,3,0,0,0,1,3,3,1,0
1,1,2,66,0,0,0,2,0,1,3,1,1,1,1,0,0,0,4,2,2,3,1
1,3,3,73,0,1,0,2,0,0,1,0,1,0,2,0,1,0,4,1,2,4,0
3,1,2,77,0,1,0,1,0,0,3,0,1,0,1,0,1,0,4,3,2,1,0
1,2,3,52,0,0,0,2,0,1,4,0,1,1,3,0,1,1,1,2,1,1,0
3,1,4,81,0,1,0,2,0,1,4,0,1,1,3,0,0,0,4,1,3,4,0
2,1,3,79,0,1,0,1,0,1,3,0,1,1,3,0,1,0,1,1,1,2,1
4,2,1,129,0,1,0,2,0,0,1,0,1,0,1,1,1,1,4,1,4,2,0
3,2,3,58,0,1,1,2,0,1,3,0,1,1,2,0,0,0,4,4,1,1,0
4,3,3,73,0,0,0,2,0,0,2,1,1,0,1,0,1,1,1,3,1,4,0
3,3,1,86,0,1,0,1,0,1,3,0,1,1,3,1,1,1,1,2,1,1,0
3,3,2,75,0,1,0,2,0,1,3,0,1,1,2,0,1,0,2,1,4,1,1
4,3,3,74,0,0,0,2,0,1,2,0,1,0,1,0,1,0,2,4,3,2,0
3,3,2,73,0,1,0,2,0,1,3,0,0,0,1,0,1,0,4,3,3,4,1
4,3,4,62,0,1,0,2,0,1,3,0,1,1,1,0,1,0,1,3,1,3,0
4,3,3,75,0,1,0,1,0,1,4,0,1,1,3,0,1,1,1,2,4,2,0
3,3,4,75,0,1,1,2,0,1,2,0,1,0,2,0,1,0,2,2,2,4,0
1,3,2,82,0,0,0,1,0,1,4,1,1,1,2,0,1,1,4,1,1,3,0
3,3,3,77,0,1,0,2,0,0,2,0,1,0,1,0,1,0,3,3,2,2,1
4,1,1,59,0,1,0,2,0,0,1,1,1,0,1,0,1,1,1,4,2,1,0
1,1,2,59,0,1,0,2,0,1,2,1,1,1,2,0,0,1,2,1,4,1,1
3,3,2,72,0,1,0,1,0,1,3,0,1,1,2,0,1,0,1,3,2,4,1
3,3,4,82,1,1,1,1,0,1,3,0,1,1,3,0,1,0,1,1,3,2,0
3,3,3,67,0,1,0,2,0,1,4,0,1,1,3,0,1,1,4,1,2,3,1
4,3,1,68,0,0,0,1,0,1,2,1,1,1,2,0,1,0,4,2,3,4,1
2,3,4,80,0,1,0,2,0,0,1,1,1,0,1,0,1,0,2,3,2,4,1
3,3,3,69,0,0,0,2,0,0,2,0,0,0,1,0,0,0,4,3,4,4,0
2,3,4,79,0,0,0,2,1,0,2,0,1,0,2,0,1,1,3,2,4,3,1
1,3,4,71,0,1,0,2,0,1,2,0,1,1,2,0,1,0,1,1,3,3,0
1,1,4,79,0,1,1,1,0,1,3,0,0,1,2,0,0,1,3,2,4,2,0
1,3,4,69,0,0,1,2,0,1,4,1,1,1,3,0,1,1,1,1,3,3,1
2,1,4,65,0,1,0,1,0,1,2,1,1,0,1,0,1,1,4,2,2,1,0
3,2,3,100,0,1,0,1,0,1,4,0,1,1,3,0,1,1,2,2,2,2,0
3,2,4,85,0,0,0,2,0,1,3,0,1,1,3,0,1,0,2,1,4,3,1
1,3,4,70,0,1,0,2,0,1,3,0,1,1,2,0,1,0,4,2,4,2,1
3,3,3,108,0,1,0,2,0,0,1,0,1,0,1,0,1,0,4,3,1,2,0
2,3,4,86,0,1,0,2,0,1,1,1,1,0,1,0,1,0,2,4,1,2,0
1,1,3,65,0,0,0,2,0,1,3,0,0,1,3,0,0,0,2,2,3,1,1
3,2,1,73,0,0,0,2,0,1,2,1,1,1,1,0,1,1,4,3,1,1,0
1,2,1,75,0,1,0,2,0,1,3,0,1,1,2,0,1,0,2,2,3,3,0
3,1,2,79,0,0,1,2,0,1,3,1,0,1,3,0,0,0,1,1,4,3,1
4,3,2,71,0,1,0,2,0,1,3,0,1,1,3,0,0,0,2,4,4,2,1
3,1,1,68,1,0,0,2,0,0,2,1,1,0,1,0,0,1,4,3,3,1,0
2,1,1,82,0,1,0,2,0,0,1,0,1,0,1,0,1,1,1,1,2,3,1
1,3,1,69,1,0,0,1,0,1,3,1,1,1,2,0,1,1,1,1,2,1,0
4,1,2,88,0,0,0,1,0,1,4,0,1,1,2,0,1,0,2,3,2,3,0
4,1,2,91,0,1,0,2,0,0,2,1,1,0,1,0,1,0,2,4,1,3,0
3,1,4,85,0,1,0,2,0,1,2,0,1,1,2,0,1,0,4,3,3,2,0
4,3,2,74,0,1,1,2,0,1,3,0,1,1,2,0,1,0,2,1,3,3,0
4,1,4,76,0,1,0,2,0,0,1,0,1,1,3,0,1,0,2,4,1,2,0
4,2,3,71,0,1,0,1,0,1,2,0,1,1,2,1,1,0,3,4,1,4,0
3,1,1,79,0,0,0,2,0,0,4,0,1,0,1,0,1,0,4,2,1,3,0
1,1,2,75,0,1,0,2,0,1,4,0,1,1,2,0,0,0,2,1,3,3,1
3,3,2,81,0,1,1,2,0,1,1,0,1,0,1,0,1,0,4,4,3,1,0
1,3,1,66,1,1,0,2,0,0,2,0,1,0,1,0,1,1,3,4,1,2,0
3,3,1,68,0,1,0,2,0,1,3,0,1,0,2,0,1,1,2,1,4,3,0
3,1,2,108,0,1,0,2,0,0,1,0,1,0,1,0,0,1,3,2,4,1,0
1,1,4,63,0,1,0,2,0,1,4,0,1,1,2,0,0,0,2,2,4,3,1
4,3,1,64,0,0,0,2,0,0,1,1,0,0,1,0,1,1,3,4,1,3,0
2,3,1,71,0,0,0,2,0,0,2,1,1,1,2,1,1,1,4,1,1,4,0
1,1,1,81,0,1,0,2,0,1,3,0,0,1,2,0,0,0,4,3,2,4,0
3,1,2,82,0,1,0,2,0,0,2,0,1,0,1,0,1,1,2,3,4,1,0
2,1,4,66,1,1,0,2,0,1,2,0,1,1,2,0,0,1,3,2,4,1,1
1,1,2,79,0,1,0,1,0,1,4,1,1,1,2,0,0,1,2,1,1,2,1
3,3,2,67,0,1,0,1,0,1,3,0,1,1,3,0,1,0,3,3,1,2,1
2,3,4,56,0,0,0,1,0,1,1,0,1,1,2,0,0,1,3,1,2,2,1
4,3,2,65,0,0,0,2,0,1,3,0,1,0,2,0,1,0,4,2,2,3,1
4,1,3,77,0,0,0,2,0,1,3,0,0,1,3,0,1,0,3,3,2,3,0
1,1,3,78,0,1,0,2,0,1,4,0,1,1,3,0,1,0,1,1,4,1,1
4,3,3,48,0,0,0,1,0,0,1,1,0,0,1,0,1,0,3,4,2,4,0
3,3,3,75,0,1,0,1,0,0,2,0,1,0,2,0,1,1,4,1,2,1,0
3,3,4,71,0,1,0,2,0,1,1,0,1,0,1,0,1,0,4,3,1,1,0
1,1,2,79,0,1,0,1,0,1,4,0,1,1,3,0,0,1,1,1,1,2,1
4,3,4,79,0,1,1,2,1,0,1,0,1,0,1,0,1,0,1,4,4,4,0
2,2,2,72,0,0,0,1,0,1,3,0,1,1,2,0,1,1,1,3,2,4,1
1,1,3,75,0,1,0,2,0,1,3,0,1,1,2,0,1,0,1,3,1,2,1
2,2,4,70,0,0,1,2,0,1,2,0,1,1,3,0,1,0,1,4,3,1,0
2,2,3,67,0,1,0,2,0,0,2,1,1,1,1,0,1,0,3,3,1,4,1
3,3,4,73,0,1,1,1,0,1,3,0,1,0,2,0,1,0,4,3,1,1,1
1,1,1,76,0,0,0,2,0,1,4,0,0,1,2,0,0,1,3,2,2,3,0
2,3,4,81,0,1,0,2,0,0,1,0,1,0,1,0,1,0,4,1,3,1,0
4,3,3,73,0,1,0,1,0,1,3,0,1,1,3,0,0,0,3,1,2,1,1
1,3,1,82,0,1,0,2,0,0,2,1,1,0,1,0,0,0,2,4,3,2,0
1,3,2,69,0,1,0,1,0,1,2,1,0,1,2,0,1,0,1,4,3,2,0
2,1,2,60,0,0,0,2,0,1,4,0,1,1,3,0,0,0,4,1,4,4,0
3,3,1,67,0,1,0,2,0,0,1,0,1,0,1,0,1,1,4,3,4,4,1
2,3,2,63,0,1,0,2,0,0,2,0,1,0,1,0,1,1,4,3,1,1,1
3,2,1,102,0,1,0,2,0,0,1,0,1,0,1,0,0,1,3,4,1,3,0
3,3,3,75,0,1,1,1,0,1,1,0,1,0,2,0,1,0,1,4,1,4,0
1,1,3,68,0,0,0,2,0,1,3,1,1,1,3,0,1,0,3,1,2,2,1
3,3,3,68,0,1,0,1,0,0,3,0,1,0,1,0,0,1,2,2,2,4,0
4,3,1,65,0,1,0,2,0,1,3,1,1,1,3,0,0,0,3,1,2,3,1
3,1,2,73,0,1,1,2,0,1,4,0,1,1,3,0,1,1,1,1,1,3,0
2,3,3,62,0,1,0,2,0,0,2,0,0,0,1,0,1,0,3,4,4,3,0
1,1,1,65,0,0,0,2,0,1,4,1,1,1,3,0,0,1,1,2,1,3,1
2,3,3,73,0,0,0,2,0,1,3,0,0,1,2,1,0,1,2,1,4,3,1
2,2,4,76,0,1,0,2,0,0,1,1,1,0,1,0,1,0,3,2,2,2,0
1,1,3,68,0,1,0,2,0,1,2,0,1,1,3,0,0,1,2,2,2,4,1
3,2,4,79,0,1,1,1,0,1,3,0,1,1,3,0,1,0,2,1,3,3,1
2,2,3,62,1,0,0,2,0,1,4,0,1,0,2,0,1,1,1,4,2,3,0
2,3,3,75,0,0,0,1,0,1,4,1,0,1,3,0,1,0,1,3,1,3,0
1,1,2,99,0,0,0,2,0,0,1,1,1,0,1,0,0,0,4,3,3,2,1
1,1,2,69,0,1,1,1,0,0,2,1,1,0,1,0,0,1,2,2,1,3,0
2,3,3,55,0,0,0,2,0,0,1,1,1,1,1,0,1,1,4,4,4,4,1
1,1,2,69,0,0,0,2,0,1,1,0,1,1,1,0,0,1,4,4,1,1,0
4,2,3,69,0,1,0,2,0,1,2,0,1,0,1,1,1,0,4,1,4,1,0
3,3,1,65,0,0,0,2,0,0,1,1,0,0,1,0,0,1,4,3,1,1,0
3,3,3,66,0,1,0,2,0,1,3,0,0,1,3,1,1,0,4,3,3,2,0
4,3,1,78,0,1,0,2,0,0,4,0,1,1,1,0,0,1,4,3,2,2,0
4,3,3,74,0,1,0,2,0,1,3,0,1,1,3,0,1,0,4,4,2,2,0
2,1,2,80,0,1,0,2,0,1,1,1,0,1,2,0,1,0,1,1,4,1,0
2,1,1,80,0,0,0,2,0,1,3,0,0,1,3,0,0,1,1,3,4,3,0
3,3,4,70,0,1,0,1,0,0,1,1,0,0,1,0,1,0,3,4,2,2,0
1,1,3,89,0,1,0,2,0,1,3,1,1,1,3,0,0,0,1,2,2,4,1
4,1,2,77,0,1,0,2,0,0,1,1,1,0,1,0,0,0,3,3,3,4,0
3,3,1,72,0,1,1,1,0,0,2,0,1,0,1,0,1,0,4,3,3,4,0
3,3,1,66,0,0,0,1,0,0,1,1,1,0,1,0,1,1,3,3,3,1,0
3,3,2,70,0,1,0,2,0,0,4,0,1,0,2,0,1,0,1,1,2,4,0
4,1,2,74,0,0,0,2,0,0,2,1,0,0,1,0,0,0,1,1,2,1,0
2,2,4,67,0,0,1,2,0,1,2,1,1,1,3,0,1,0,1,4,3,1,0
3,2,1,80,0,0,0,2,0,0,1,0,1,0,1,0,1,0,3,2,1,3,0
2,3,2,71,0,0,1,2,0,0,1,0,1,1,1,0,1,0,1,3,2,2,0
1,2,1,73,0,1,0,2,0,1,4,0,1,1,1,0,1,0,1,4,2,3,1
3,2,1,72,0,0,1,1,0,1,3,0,0,1,3,0,0,0,3,3,3,2,0
2,3,2,82,0,0,0,2,0,1,3,0,1,1,3,0,1,1,2,2,1,4,0
1,2,2,73,0,1,0,2,0,0,2,0,1,0,1,0,0,0,4,1,3,1,0
2,1,2,61,0,1,0,2,0,1,2,0,1,0,1,0,1,0,1,1,3,3,0
3,2,1,66,0,1,1,1,0,0,1,1,1,0,1,0,1,1,3,4,1,3,0
4,2,4,69,0,1,0,1,0,1,4,0,1,1,3,0,1,0,2,4,1,2,1
3,3,2,62,0,1,0,2,0,1,4,0,1,1,3,0,1,0,4,2,3,2,0
2,3,1,92,0,1,0,2,0,0,1,1,1,0,1,0,0,0,4,4,1,4,0
4,3,3,73,0,1,1,2,0,1,2,0,1,1,2,1,1,0,1,1,1,1,0
2,3,4,97,0,1,0,1,0,1,4,0,1,1,2,0,1,1,2,3,3,3,0
4,2,2,85,0,1,0,2,0,0,1,0,1,0,1,0,1,0,3,1,4,3,1
3,3,2,78,0,1,0,2,0,0,1,0,1,0,1,0,0,0,3,4,3,3,0
4,3,1,68,0,1,1,1,0,1,4,0,1,1,3,0,1,0,4,4,4,4,0
4,1,4,100,0,1,0,2,0,0,1,0,1,0,1,1,1,0,4,3,2,2,0
2,1,3,71,0,0,0,2,0,1,3,0,0,1,3,0,0,0,2,3,2,1,1
3,2,1,75,0,1,0,2,0,0,4,0,1,0,1,0,0,0,1,1,1,3,1
1,3,3,72,0,1,0,1,0,1,4,0,1,1,3,0,0,1,3,1,1,4,1
1,1,1,73,0,0,0,2,0,1,3,1,0,0,3,0,1,1,1,3,4,3,1
3,1,3,65,0,1,0,2,0,1,4,0,1,1,3,1,0,0,1,1,4,1,0
1,3,2,74,0,1,0,2,0,1,2,0,0,0,3,0,1,0,1,1,4,4,0
2,3,4,79,0,1,0,1,0,0,4,1,1,1,3,0,1,0,1,2,1,2,0
2,3,4,72,0,1,0,1,0,1,2,1,1,1,3,0,1,0,4,2,1,3,1
1,3,3,85,0,1,0,1,0,1,4,0,1,1,3,0,1,0,1,4,3,2,0
4,3,3,71,0,1,0,2,0,1,3,0,1,1,3,0,1,1,2,2,4,1,0
1,3,3,73,0,1,0,1,0,1,2,0,1,1,2,0,0,1,1,3,1,4,0
1,3,2,68,0,0,0,1,0,1,2,1,1,1,1,0,1,0,1,1,2,3,0
3,3,4,78,0,0,0,1,0,1,3,1,0,1,2,0,1,0,4,1,2,4,0
4,1,3,71,0,1,0,2,0,1,3,1,1,1,3,1,1,0,1,2,1,3,0
1,3,3,88,0,1,0,2,0,1,3,0,1,1,1,0,0,0,1,1,4,4,0
3,3,2,68,0,1,0,2,0,1,3,0,0,1,3,1,1,0,1,4,3,1,0
4,3,1,85,0,1,0,2,0,1,2,0,1,1,3,0,1,0,1,2,3,3,0
1,1,2,93,0,0,0,2,0,0,1,0,1,0,1,0,0,0,3,4,3,3,1
1,3,1,78,0,1,0,2,0,1,4,0,1,1,2,0,0,0,3,4,3,4,1
2,3,1,84,0,1,0,2,0,0,2,0,1,0,1,0,1,0,2,2,3,4,0
4,1,1,72,0,1,0,2,0,0,1,0,0,0,1,0,1,1,3,4,3,4,0
2,1,3,85,0,1,0,1,0,1,3,1,1,0,2,0,0,0,2,4,1,3,0
4,3,3,76,0,1,0,2,0,0,2,0,1,0,1,0,1,0,4,4,2,1,0
3,1,4,113,0,1,0,2,0,0,2,0,1,0,1,0,1,1,4,2,1,1,0
1,1,1,74,0,0,0,1,0,1,3,0,1,1,3,1,1,1,1,1,4,3,0
2,1,2,68,0,0,0,2,0,1,4,1,1,1,3,0,1,0,1,2,4,2,0
4,2,4,77,0,0,0,2,0,1,3,0,1,1,3,0,1,0,2,3,1,3,0
1,3,1,64,0,0,0,1,0,1,4,0,1,1,1,0,0,0,2,2,1,4,1
1,2,1,64,0,0,0,2,0,1,3,0,0,1,3,0,1,1,3,4,1,3,0
1,3,2,82,0,1,0,2,0,1,3,0,1,1,2,0,1,0,3,2,3,1,0
4,1,3,90,0,1,0,2,0,0,2,0,1,1,1,0,1,1,3,3,1,2,0
4,1,1,71,0,1,0,2,0,0,2,1,1,0,1,1,1,1,3,1,1,1,0
4,1,3,68,0,1,0,1,0,1,2,0,1,1,2,0,0,0,1,1,2,4,0
1,2,4,73,0,1,0,2,1,1,3,0,1,1,2,0,1,0,3,2,4,4,0
4,3,1,70,0,1,0,1,0,0,1,0,1,1,1,0,1,1,3,1,4,2,0
2,1,4,63,0,1,0,2,0,0,1,0,1,1,1,0,1,0,2,4,4,4,0
2,2,4,80,0,1,0,2,0,1,2,0,1,1,3,0,1,0,3,1,3,2,0
4,1,3,85,0,1,0,1,0,0,1,0,1,0,1,0,1,0,4,4,2,3,0
3,1,3,74,0,1,0,2,0,0,1,0,1,0,1,0,1,0,2,2,1,3,0
1,3,4,82,0,1,0,1,0,1,4,0,1,0,1,0,1,1,1,4,1,3,0
2,1,1,66,0,0,0,2,0,1,1,0,1,0,3,1,1,1,2,3,3,2,0
1,3,2,78,0,1,0,1,0,1,1,0,1,0,1,0,1,1,4,4,1,4,0
3,1,3,76,0,0,0,2,0,1,4,0,1,1,2,1,0,0,3,4,1,2,0
3,3,3,81,0,1,0,2,0,1,2,0,1,0,1,0,0,1,2,3,4,3,1
3,1,2,63,0,0,0,2,0,1,4,0,0,1,3,1,0,0,1,4,3,2,1
2,1,1,68,0,0,0,2,0,1,4,0,1,1,2,0,1,1,4,1,4,4,0
4,3,2,100,0,1,0,1,0,0,2,1,0,0,1,0,1,0,3,3,1,1,0
1,3,1,75,0,1,0,2,0,1,3,0,1,1,3,0,1,1,1,1,2,1,1
2,3,4,78,0,1,0,2,0,1,2,0,1,0,1,0,1,1,3,1,4,3,0
